Risk Lifecycle,Main Risk,Sub Risk Title,Sub Risk Description,Rule ID,Rule Title,Rule Description,NIST AI RMF Sub Categories,Metric/Parameter/Topic,Metric Calculation Description,HuggingFace_Model_Card_Metric,Metric_Threshold_Value,Threshold_Unit,Metric-based_Rule_Form,Rule_Status
Training data,Accuracy,Data contamination,Data contamination occurs when incorrect data is used for training.,HFT-001,Implement dataset verification in training pipeline,Implement verification checks in the Transformers training pipeline to ensure training data does not overlap with test/validation sets. Use DataCollatorWithPadding and custom dataset classes to validate data split integrity before model training.,MEASURE-2.2; MEASURE-2.5,Data overlap percentage; Train-test separation ratio,Calculate percentage of samples appearing in multiple splits using dataset hashing; verify no common samples exist between training and validation datasets,Procedural rule - training pipeline implementation,,,,SKIPPED
Training data,Accuracy,Unrepresentative data,Training data not sufficiently representative of the underlying population.,HFT-002,Enable dataset analysis and stratification,"Utilize Transformers with custom data loaders to implement stratified sampling and dataset analysis. Document data demographics and representativeness through model card metadata fields (datasets, metrics, tags).",MEASURE-2.2; GOVERN-1.6,Class balance ratio; Dataset coverage metrics; Demographic representation percentage,Calculate ratio of minority/majority classes in training set; measure percentage of demographic groups represented; compute coverage of expected input distribution,Class Balance Ratio,0.8,Ratio,Ensure Class Balance Ratio is >= 0.80,MAPPED
Training data,Fairness,Data bias,Historical and societal biases present in training data.,HFT-003,Implement bias detection and mitigation in preprocessing,"Use Transformers with Evaluate library bias metrics (statistical parity, equal opportunity, predictive parity) to detect and document training data biases. Include bias analysis in model cards and documentation.",MEASURE-2.11; GOVERN-1.2,Statistical parity difference; Equal opportunity difference; Predictive parity metrics,Compare prediction rates across demographic groups; calculate disparity index for model outcomes by protected attributes; measure bias metrics on held-out test sets,Statistical Parity Difference,0.1,Percentage Points,Ensure Statistical Parity Difference is < 0.10,MAPPED
Training data,Privacy,Data privacy rights alignment,Compliance with data privacy regulations and data subject rights.,HFT-004,Document data privacy handling and retention policies,"Use Transformers model cards to document data sources, licenses, and privacy compliance status. Implement privacy metadata fields including data retention policies, anonymization methods, and regulatory compliance status.",GOVERN-1.1; GOVERN-1.6,Privacy documentation completeness; Consent management rate; Data retention policy adherence,Verify presence of privacy sections in model card; track percentage of data with valid consent; audit alignment with stated retention policies,Procedural rule - documentation requirement,,,,SKIPPED
Training data,Privacy,Personal information in data,Inclusion of PII and sensitive personal information in training data.,HFT-005,Enable data anonymization and PII detection,Implement preprocessing steps in Transformers data pipelines to detect and mask PII. Use custom TokenClassificationPipeline to identify sensitive entities before training. Document anonymization approaches in model cards.,GOVERN-1.1,PII detection rate; Anonymization coverage percentage; Undetected PII samples,Run PII detection models on training dataset; measure percentage of identified PII that is masked/removed; track residual PII through manual audit sampling,PII Detection Rate,95,Percentage (%),Ensure PII Detection Rate is >= 95%,MAPPED
Training data,Transparency,Lack of training data transparency,"Insufficient documentation on data collection, curation, and usage.",HFT-006,Implement comprehensive dataset documentation,"Leverage Transformers model card framework (README.md with YAML metadata) to document dataset lineage, collection methodology, preprocessing steps, and known limitations. Include dataset identifiers and version control in metadata.",GOVERN-1.6; GOVERN-1.2,Documentation completeness score; Metadata field population rate; Lineage traceability,Create checklist of required documentation fields and calculate percentage completion; audit model card for dataset provenance information; verify version control implementation,Procedural rule - documentation requirement,,,,SKIPPED
Training data,Transparency,Uncertain data provenance,"Inability to verify data origin, ownership, and transformations.",HFT-007,Establish data source verification and versioning,"Use Transformers with model card system to document data sources, URLs, collection dates, and transformations applied. Implement dataset version tracking in repository metadata and configuration files.",GOVERN-1.6,Data source verification rate; Version control coverage; Transformation documentation completeness,Verify each training dataset has documented origin; check git history for data modification tracking; audit config files for data lineage information,Procedural rule - data governance requirement,,,,SKIPPED
Training data,Value alignment,Improper data curation,"Data curation includes label errors, conflicting information, or misinformation.",HFT-008,Implement data quality validation and human review,Integrate data validation steps in Transformers training pipelines. Use callbacks to log data quality metrics and require human-in-the-loop review of questionable samples. Document label quality standards in model cards.,GOVERN-1.2; MEASURE-2.5,Label agreement rate; Data quality score; Human review completion percentage,Calculate inter-annotator agreement scores for labeled data; implement quality checks on label distributions; track percentage of samples reviewed by humans,Label Agreement Rate,85,Percentage (%),Ensure Label Agreement Rate is >= 85%,MAPPED
Inference,Accuracy,Poor model accuracy,Model performance is insufficient for the intended task.,HFT-009,Monitor model accuracy with automated evaluation,Use Transformers Trainer.evaluate() and custom evaluation scripts to regularly assess model accuracy on held-out test sets. Implement automated evaluation pipelines and monitoring dashboards that track metrics over time.,MEASURE-2.2; MEASURE-2.5,Precision; Recall; F1-score; Mean absolute error,Calculate standard evaluation metrics on test set; establish baseline performance thresholds; trigger retraining when metrics fall below thresholds,F1-score,0.8,Score (0-1),Ensure F1-score is >= 0.80,MAPPED
Inference,Fairness,Output bias,Generated content unfairly represents certain groups or individuals.,HFT-010,Monitor and measure fairness metrics in model outputs,"Integrate Hugging Face Evaluate library bias metrics into inference pipelines. Log predictions by demographic groups and compute fairness metrics (demographic parity, equalized odds). Generate fairness reports for deployment decisions.",MEASURE-2.11; GOVERN-1.2,Demographic parity; Equalized odds; Calibration metrics; Fairness violation rate,Run inference on diverse test sets; segment results by protected attributes; compute disparities and flag violations when exceeding thresholds,Demographic Parity,90,Percentage (%),Ensure Demographic Parity is >= 90%,MAPPED
