"Risk_Lifecycle","Main_Risk","Sub_Risk","Rule_ID","Rule_Title","Rule_Description","NIST_AI_RMF_Function","NIST_AI_RMF_Details","Associated_Metric","Metric_Calculation","HF_Metric","Metric_Based_Rule","Threshold_Value","HF_Metric_Match","Mapping_Notes"
"Training Data","Accuracy","Data contamination","KSERVE-1.1.1","Ensure model input data validation is implemented","Implement comprehensive input validation for training data loaded into KServe models to prevent contaminated or malicious data from being used. Validate data schema, ranges, types, and content against defined specifications before model training or serving.","MEASURE-2.2","Evaluations involving human subjects meet applicable requirements and are representative of the relevant population","Data validation pass rate, Schema conformance percentage, Contamination detection rate","Count of validation checks passed / Total validation checks performed. Monitor for schema violations and data type mismatches in input pipelines.","Data validation pass rate","Ensure data validation pass rate is greater than threshold","95%","Yes","HF models track schema conformance and contamination detection rates"
"Training Data","Accuracy","Unrepresentative data","KSERVE-1.1.2","Ensure model evaluation includes representative population segments","Configure KServe model evaluation and monitoring to assess performance across different demographic segments and use cases to ensure the model is representative of the intended population. Use stratified evaluation approaches.","MEASURE-2.2","Evaluations involving human subjects meet applicable requirements and are representative of the relevant population","Population segment coverage percentage, Model performance variance across segments, Evaluation data diversity score","Count of evaluated population segments / Total identified segments. Calculate performance metrics separately for each demographic group.","Population segment coverage percentage","Ensure population segment coverage is greater than threshold","90%","Yes","Model cards document evaluation across demographic segments"
"Training Data","Privacy","Personal information in data","KSERVE-1.2.1","Ensure PII redaction in model training pipelines","Implement automated PII (Personally Identifiable Information) detection and redaction in data preprocessing steps before models are trained or stored in KServe. Use techniques such as tokenization, masking, or differential privacy.","GOVERN-1.1","Legal and regulatory requirements involving AI are understood, managed, and documented","PII detection rate, Data anonymization coverage, Residual PII percentage","Count of PII instances detected and redacted / Total records processed. Verify through automated scanning and manual audit sampling.","Residual PII percentage","Ensure residual PII percentage is less than threshold","1%","Yes","PII detection models (e.g., Piiranha) document PII detection rates"
"Training Data","Privacy","Reidentification risk","KSERVE-1.2.2","Ensure model inference does not enable re-identification attacks","Apply privacy-preserving techniques such as k-anonymity, l-diversity, or differential privacy to model training data to prevent re-identification of individuals. Document privacy guarantees and re-identification risk assessments.","GOVERN-1.1","Legal and regulatory requirements involving AI are understood, managed, and documented","Re-identification risk score, Privacy guarantee level, Differential privacy budget utilization","Conduct re-identification attacks using standard benchmarks. Measure successful re-identifications / Total test cases. Document epsilon value for differential privacy.","Membership inference attack success rate","Ensure membership inference attack success rate is less than threshold","5%","Yes","Privacy models track attack success rates"
"Training Data","Transparency","Lack of training data transparency","KSERVE-1.3.1","Ensure training data documentation and versioning","Maintain comprehensive documentation of all training datasets used by KServe models including data source, collection methodology, preprocessing steps, labeling procedures, and version control. Store documentation with model artifacts.","GOVERN-1.6","Mechanisms are in place to inventory AI systems and are resourced according to organizational risk priorities","Documentation completeness score, Dataset versioning compliance, Metadata availability percentage","Evaluate documentation against checklist of required elements (source, collection date, preprocessing, labeling). Verify all training datasets have unique versions tracked in model registry.","Documentation completeness score","N/A - Procedural Rule","N/A","No","Process/procedural rule - documentation completeness is not a quantifiable metric in model cards"
"Training Data","Transparency","Uncertain data provenance","KSERVE-1.3.2","Ensure data provenance tracking and validation","Implement mechanisms in KServe data pipelines to track and verify the provenance of all training and validation datasets. Use data lineage tools and checksums to ensure data integrity and authenticity.","GOVERN-1.6","Mechanisms are in place to inventory AI systems and are resourced according to organizational risk priorities","Data provenance tracking coverage, Checksum verification pass rate, Data source authenticity score","Count of datasets with verified provenance / Total datasets. Verify checksums match source repositories. Document chain of custody for all data transformations.","Data provenance tracking coverage","N/A - Procedural Rule","N/A","No","Process/procedural rule - data provenance tracking is not a standard model card metric"
"Inference","Accuracy","Poor model accuracy","KSERVE-2.1.1","Ensure continuous model performance monitoring","Deploy monitoring for KServe model inference to continuously track accuracy metrics (precision, recall, F1-score, etc.) against baseline performance. Trigger automated alerts when performance degrades below acceptable thresholds.","MEASURE-2.2","Evaluations involving human subjects meet applicable requirements and are representative of the relevant population","Model accuracy baseline, Performance degradation threshold breaches, Alert response time","Calculate precision, recall, F1-score on inference outputs. Compare against baseline; trigger alert if falls below defined threshold (e.g., 5% degradation).","Model accuracy (F1-score, precision, recall)","Ensure model accuracy baseline is greater than threshold","90%","Yes","Standard metrics in HF model cards via HELM and evaluation results"
"Inference","Accuracy","Poor model accuracy","KSERVE-2.1.2","Ensure data drift detection and model retraining triggers","Configure KServe with data drift detection mechanisms to identify when inference input distributions change significantly from training data. Automatically trigger model retraining or alerting when drift exceeds thresholds.","MEASURE-2.2","Evaluations involving human subjects meet applicable requirements and are representative of the relevant population","Data drift detection sensitivity, Retraining trigger frequency, Model staleness metric","Use statistical tests (KL divergence, Kolmogorov-Smirnov) to measure distribution changes. Track days since last model retraining. Alert if drift score exceeds threshold.","Data drift detection score","N/A - Procedural Rule","N/A","No","Process/procedural rule - drift detection is operational metric, not model card metric"
"Inference","Intellectual Property","Confidential data in prompt/inference","KSERVE-2.2.1","Ensure input sanitization and confidential data redaction","Implement input sanitization and redaction mechanisms in KServe inference pipelines to automatically detect and remove or mask confidential data (API keys, credentials, PII) from inference requests before they reach the model.","GOVERN-1.1","Legal and regulatory requirements involving AI are understood, managed, and documented","Confidential data detection rate, Redaction coverage percentage, False positive rate","Run inference requests through redaction engine; measure percentage of confidential patterns detected. Monitor redaction false positives.","Redaction coverage percentage","Ensure redaction coverage is greater than threshold","98%","Yes","PII/sensitive data redaction metrics documented in model cards"
"Inference","Privacy","Attribute inference attack","KSERVE-2.3.1","Ensure protection against attribute inference attacks","Implement defenses in KServe against attribute inference attacks where attackers query the model multiple times to infer sensitive training data attributes. Apply differential privacy, output perturbation, or query rate limiting.","GOVERN-1.1","Legal and regulatory requirements involving AI are understood, managed, and documented","Query rate limit enforcement, Inference output perturbation magnitude, Attack success rate","Monitor inference request patterns; block/throttle clients exceeding rate limits. Measure attacker success rate in inferring attributes from model outputs.","Attribute inference attack success rate","Ensure attribute inference attack success rate is less than threshold","5%","Yes","DecodingTrust and similar benchmarks evaluate privacy metrics"
