Rule ID,Lifecycle Stage,Main Risk,Sub Risk,Rule Title,Rule Description,Rationale,Implementation Guidance,Audit Procedure,NIST AI RMF Categories,Metrics to Track (Original),HF Corresponding Metrics,Threshold-Based Rule,Metric Name,Threshold Value,Threshold Direction
MLF-TRAIN-001,Training data,Accuracy,Data contamination,Implement data validation logging in MLflow tracking,"Configure MLflow tracking to log dataset validation metadata and checksums for all training runs. Track data sources, collection dates, and validation results to ensure training data integrity and prevent contamination.","Data contamination occurs when training data includes test/validation data or misaligned samples, skewing model accuracy. Logging validation results enables detection and ensures data quality.","Create custom callbacks in MLflow tracking to log: dataset_checksum, data_split_validation_status, source_verification_result. Use mlflow.log_param() for source details and mlflow.log_metrics() for validation scores. Store validation report as artifact.",Review run history for data_contamination_check metrics. Verify all runs have validation status logged. Check artifacts for validation reports. Test with known-contaminated dataset to verify detection.,MEASURE-2.2; GOVERN-1.1,Data validation logged percentage; Dataset checksum verification rate; Data contamination detection incidents; Validation error rate,Data completeness %; Missing data rate; Duplicate record percentage,Ensure data validation logged percentage >= 95%,Data Validation Logged Percentage,95%,>=
MLF-TRAIN-002,Training data,Accuracy,Unrepresentative data,Track data distribution metrics in MLflow experiments,"Log dataset statistics and distribution metrics in MLflow experiments. Track population demographics, coverage metrics, and representativeness scores. Enable comparison across runs to identify data representation issues.",Unrepresentative training data causes models to underperform for certain population groups. Tracking distribution metrics enables identification of coverage gaps.,"Log distribution metrics: demographic_coverage_ratio, underrepresented_groups_count, coverage_gap_percentage. Use mlflow.log_metrics() for ratios and mlflow.log_dict() for group-level analysis. Store distribution analysis as artifact.",Query experiment runs for distribution metrics. Identify underrepresented groups (coverage < 5%). Verify metrics are comparable across runs. Check artifact for detailed analysis. Calculate coverage trends over time.,MEASURE-2.2; GOVERN-1.4,Coverage metrics logged; Distribution analysis logged; Underrepresented segment alerts; Coverage gap percentage,Class balance ratio; Feature distribution variance; Sample coverage %,Ensure class balance ratio is between 0.9 and 1.1 (within 10% of ideal),Class Balance Ratio,0.9-1.1,within range
MLF-DATA-001,Training data,Data laws,Data acquisition restrictions,Document data licensing in MLflow artifact metadata,"Store data source licensing, acquisition method, and legal restrictions as MLflow tags and parameters for every run. Enable filtering by compliance status in UI and API.",Legal restrictions on data acquisition vary by jurisdiction and use case. Documenting licensing ensures compliance with laws and prevents legal violations.,"Add MLflow tags: data_source_license, data_acquisition_method, geographic_restriction, restricted_use_cases. Use mlflow.set_tag() to store for each run. Create tag-based search indices.",Sample 50 runs. Verify all have license tags. Verify restricted_use_cases matches actual use. Check geographic restrictions match deployment region. Review tag values for consistency.,GOVERN-1.1; GOVERN-1.2,Data source licensing compliance rate; Metadata completeness score; Legal restriction violation incidents; Restricted data incidents,License compliance score; Documented restrictions count,Ensure license compliance score is 100%,License Compliance Score,100%,=
MLF-DATA-002,Training data,Data laws,Data transfer restrictions,Enforce and log data residency policies,Configure MLflow backend storage with geographic restrictions. Log data processing location and storage region for each run. Prevent artifacts from crossing regional boundaries.,Data transfer restrictions limit cross-border movement of data. Enforcement prevents legal violations and regulatory non-compliance.,"Configure MLflow artifact store with regional restrictions. Log tags: processing_region, artifact_storage_region, cross_region_transfer_allowed. Implement backend storage access control by region.",Verify artifact store configuration enforces regional boundaries. Review tags for all runs. Check logs for any cross-region transfer attempts. Test access control by region.,GOVERN-1.1; GOVERN-1.4,Data localization compliance rate; Cross-border transfer violations; Geographic compliance audit pass rate; Transfer violation count,Geographic scope compliance; Data origin verification score,Ensure geographic scope compliance is 100%,Geographic Scope Compliance,100%,=
MLF-DATA-003,Training data,Data laws,Data usage restrictions,Implement use-case validation in MLflow run parameters,Require specification of intended use case in MLflow experiment and run parameters. Log restrictions and validate compatibility before run completion. Enable compliance audits through run history.,Some data licenses restrict usage to specific purposes. Enforcing use-case validation prevents license violations.,"Require mlflow.log_param('intended_use_case', value) in all training scripts. Validate against allowed_use_cases list. Log validation_status metric. Implement pre-run validation hooks.",Query runs for intended_use_case parameter. Verify all runs have this set. Check validation_status for all. Audit runs with restricted use cases. Verify compliance history.,GOVERN-1.1; GOVERN-1.2,Usage restriction compliance rate; Policy violation incidents; Validation success rate; Unauthorized usage incidents,Use case alignment score; Scope mismatch incidents,Ensure use case alignment score is 100%,Use Case Alignment Score,100%,=
MLF-FAIR-001,Training data,Fairness,Data bias,Log bias metrics and demographic parity in experiments,"Define and log fairness metrics (statistical parity, demographic parity) in MLflow experiments. Track across demographic groups. Create alerts for significant disparities between runs.",Biased training data perpetuates and amplifies existing biases. Tracking fairness metrics enables early detection and mitigation.,"Log metrics: demographic_parity_ratio, statistical_parity_diff, equal_opportunity_diff for each demographic group. Use mlflow.log_metrics() with group prefixes. Create comparison plots.",Query experiments for fairness metrics. Calculate parity differences (target < 5%). Identify groups with largest disparities. Review trending across runs. Compare models on fairness.,MEASURE-2.11; GOVERN-1.2,Demographic parity score; Statistical parity tracking; Bias alert incidents; Disparity percentage,Demographic Parity Ratio; Statistical Parity Diff; Equalized Odds Difference,Ensure demographic parity ratio difference is <= 5%,Demographic Parity Ratio Difference,5%,<=
MLF-IP-001,Training data,Intellectual property,Confidential information in data,Screen and tag sensitive data sources in MLflow,Implement MLflow custom metrics for PII/confidential data scanning. Log detection results and redaction status as metrics. Tag runs with sensitivity level.,Including confidential data in training can lead to unwanted disclosure in model outputs. Screening prevents information leakage.,"Log metrics: pii_elements_detected, confidential_patterns_found, redaction_success_rate. Tag runs with sensitivity_level (high/medium/low). Store detection report as artifact.",Review PII detection metrics for all runs. Verify redaction_success_rate > 99%. Check sensitivity_level tags. Audit runs with high PII count. Verify redaction artifacts.,GOVERN-1.1; GOVERN-1.2,Confidential data detection rate; Redaction success; Sensitive data incidents; Detection coverage,PII Detection Rate; Confidential Pattern Match Count,Ensure PII detection rate is >= 95%,PII Detection Rate,95%,>=
MLF-IP-002,Training data,Intellectual property,Data usage rights restrictions,Validate and document license compliance in experiments,Log license types for all data sources as MLflow tags. Implement validation logic to check compliance before run registration. Store license audit trail.,License compliance prevents legal liability and IP violations. Documentation enables audit and compliance verification.,"Add tags: license_type, license_commercial_restriction, license_restriction_applies. Implement pre-run license validation. Log validation_status metric. Store license audit trail.",Sample runs and verify license_type tags. Check validation_status for compliance. Test validation logic with incompatible licenses. Review audit trail for changes.,GOVERN-1.1; GOVERN-1.2,License compliance rate; Validation pass rate; IP violation incidents; Non-compliance incident count,License Compliance Score; Incompatible License Count,Ensure license compliance rate is 100%,License Compliance Rate,100%,=
MLF-PRIV-001,Training data,Privacy,Personal information in data,Log PII detection and redaction metrics,"Use MLflow metrics to track PII detection, redaction success, and retention status. Store detection results and redaction rules as artifacts. Enable compliance audits.",PII in training data can lead to unwanted disclosure. Tracking detection and redaction ensures privacy protection.,"Log metrics for each PII type: email_detected, ssn_detected, phone_detected, credit_card_detected, redaction_success_rate. Store PII summary in artifact. Tag sensitivity.",Review PII metrics for all training runs. Verify redaction_success_rate > 99%. Check redaction artifacts. Audit unredacted PII incidents. Verify privacy compliance.,GOVERN-1.1; GOVERN-1.2,PII detection rate; Redaction success rate; Unredacted PII incidents; Detection accuracy > 99%,PII Detection Rate; Redaction Success Rate; Unredacted PII Incidents,Ensure redaction success rate is >= 99%,Redaction Success Rate,99%,>=
MLF-PRIV-002,Training data,Privacy,Data privacy rights alignment,Maintain data provenance in MLflow registry for deletion,Store data provenance and source attribution in MLflow model tags and metadata. Enable tracking of data sources to support right-to-deletion requests through model lineage.,Supporting data subject rights (right-to-deletion) requires tracking data sources. Model provenance enables efficient deletion workflows.,"Store in model tags: training_data_sources, collection_dates, data_subject_ids (if applicable). Link model to training run with full provenance. Enable lineage queries.",Review registered models for provenance tags. Verify complete source tracking. Test lineage traversal from model to data. Verify deletion capability through tags.,GOVERN-1.1; GOVERN-1.2,Provenance documentation completeness; Deletion request fulfillment rate; Lineage accuracy; Traceability score,Provenance Documentation Completeness %; Deletion Request Fulfillment Rate,Ensure provenance documentation completeness is >= 95%,Provenance Documentation Completeness,95%,>=
