Rule ID,Rule Title,Risk Lifecycle,Main Risk,Sub Risk Title,Sub Risk Description,Rule Description,NIST AI RMF Functions,NIST AI RMF Sub Categories,Metric,Metric Calculation,Rule_Applicable,HF_Metric,Threshold,New_Rule_Title,New_Rule_Description,Metric_Source
TGI-INF-ROBUST-001,Enforce Logits Warping Controls for Output Safety,Inference,Robustness: model behavior manipulation,Jailbreaking,A jailbreaking attack attempts to break through the guardrails established in the model to perform restricted actions.,"Configure and enforce logits warpers (temperature, top-p, top-k, repetition penalty) in TGI inference parameters to constrain model outputs within acceptable bounds and prevent generation of restricted content.",MEASURE-2.5 (The AI system to be deployed is demonstrated to be valid and reliable),Robustness Testing; Safety Guardrails Validation,Logits warper configuration enforcement rate; Jailbreak attempt detection rate; Output safety validation pass rate,Count configurations with logits warpers enabled / Total inference configurations. Count failed jailbreak attempts / Total attack attempts. Count outputs passing safety filters / Total generated outputs,YES,Jailbreak Success Rate (%),15%,Ensure Jailbreak Resistance Score Below Threshold,Ensure jailbreak resistance scores measured via adversarial testing remain below 15% successful attempts,Security Evaluation Benchmark
TGI-INF-ROBUST-002,Implement Stop Sequences for Unsafe Content Prevention,Inference,Robustness: model behavior manipulation,Jailbreaking,A jailbreaking attack attempts to break through the guardrails established in the model to perform restricted actions.,"Configure stop sequences in TGI to halt generation when potentially harmful patterns are detected, and monitor stop sequence trigger frequency to identify attack patterns.",MEASURE-2.5 (The AI system to be deployed is demonstrated to be valid and reliable),Input/Output Validation; Attack Detection,Stop sequence configuration presence; Stop sequence trigger rate; False positive rate of stop sequences,Stop sequences configured / Total inference endpoints. Count stop sequence triggers / Total requests. Count legitimate content incorrectly stopped / Total stop events,YES,Stop Sequence FNR (%),5%,Ensure Stop Sequence False Negative Rate Below Threshold,Ensure harmful content not stopped by sequences remains below 5%,Safety Test Suite
TGI-INF-PROMPT-001,Monitor and Log All Prompt Inputs for Injection Detection,Inference,Robustness: prompt attacks,Prompt injection attack,"A prompt injection attack forces a generative model that takes a prompt as input to produce unexpected output by manipulating the structure, instructions or information contained in its prompt.",Enable comprehensive logging of all prompt inputs through TGI's distributed tracing (OpenTelemetry) and Prometheus metrics collection to detect and analyze potential prompt injection attempts.,"MEASURE-2.5 (The AI system to be deployed is demonstrated to be valid and reliable); GOVERN-1.7 (Processes and procedures are in place for decommissioning and phasing out AI systems safely)",Logging and Monitoring; Threat Detection; Incident Response,Prompt logging coverage; Injection pattern detection rate; Mean time to detect anomalous prompts,Prompts logged / Total prompts processed. Count detected injection patterns / Total logged prompts. Time from injection to alert / Total detections,YES,Injection Detection Accuracy (%),>92%,Ensure Prompt Injection Detection Accuracy Above Threshold,Ensure prompt injection detection accuracy maintained above 92%,Security Evaluation
TGI-INF-PROMPT-002,Establish Baseline Metrics for Normal Prompt Behavior,Inference,Robustness: prompt attacks,Prompt injection attack,"A prompt injection attack forces a generative model that takes a prompt as input to produce unexpected output by manipulating the structure, instructions or information contained in its prompt.","Configure Prometheus metrics collection and Grafana dashboards in TGI to establish baselines for normal prompt characteristics (length, token count, pattern frequency) to enable anomaly detection for prompt injection attacks.",MEASURE-2.5 (The AI system to be deployed is demonstrated to be valid and reliable),Behavior Analysis; Anomaly Detection,Baseline establishment completion; Anomaly detection sensitivity; False positive rate,Baselines established / Required baseline categories. Count anomalies detected / Total requests. Count false positives / Total anomalies flagged,YES,Anomaly Detection FPR (%),<3%,Ensure Anomaly Detection False Positive Rate Below Threshold,False positive rate in prompt anomaly detection does not exceed 3%,Behavioral Analysis
TGI-INF-PROMPT-LEAK-001,Restrict Log Probability Output to Prevent System Prompt Extraction,Inference,Robustness: prompt attacks,Prompt leaking,A prompt leak attack attempts to extract a model's system prompt (also known as the system message).,"Disable or restrict the log_probabilities feature in TGI inference parameters when system prompts contain sensitive information, to prevent reverse-engineering attacks that extract system messages through probability analysis.","GOVERN-1.1 (Legal and regulatory requirements involving AI are understood, managed, and documented); GOVERN-1.2 (The characteristics of trustworthy AI are integrated into organizational policies, processes, procedures, and practices)",Information Protection; Secret Management,Log probability feature usage rate; System prompt exposure incidents; Unauthorized extraction attempts,Endpoints with log_probabilities disabled / Total endpoints. Count confirmed system prompt leaks / Total requests. Count suspicious query patterns attempting extraction / Total requests,YES,Prompt Extraction Success Rate (%),<2%,Ensure System Prompt Extraction Resistance Below Threshold,Percentage of successful system prompt extractions remains below 2%,Adversarial Testing
TGI-INF-PRIVACY-001,Encrypt Prompts in Transit Using TLS/SSL,Inference,Privacy,Personal information in prompt,Personal information or sensitive personal information that is included as a part of a prompt that is sent to the model.,Enforce TLS/SSL encryption on all TGI inference endpoints and configure monitoring to verify encryption in use for all prompt transmission to prevent interception of personal information.,GOVERN-1.1 (Legal and regulatory requirements involving AI are understood, managed, and documented),Data Protection in Transit; Encryption Requirements,TLS/SSL adoption rate; Encryption verification pass rate; Unencrypted request detection rate,Endpoints using TLS/SSL / Total endpoints. Requests with verified encryption / Total requests. Count unencrypted requests / Total requests,YES,TLS Compliance Rate (%),100%,Ensure TLS/SSL Certificate Validity and Encryption Standards,All TLS/SSL certificates valid with TLS 1.2 or higher - 100% compliance,Security Audit
TGI-INF-PRIVACY-002,Implement Private Endpoint Access for Sensitive Inference,Inference,Privacy,Personal information in prompt,Personal information or sensitive personal information that is included as a part of a prompt that is sent to the model.,"Deploy TGI on Private Endpoints with AWS/Azure PrivateLink access only for inference workloads processing personal information, ensuring isolation from internet access and audit trail logging for compliance.","GOVERN-1.1 (Legal and regulatory requirements involving AI are understood, managed, and documented); GOVERN-1.4 (The risk management process and its outcomes are established through transparent policies, procedures, and other controls based on organizational risk priorities)",Access Control; Network Isolation; Audit Logging,Private endpoint deployment rate for sensitive workloads; Audit log completeness; Unauthorized access attempts,Private endpoints deployed / Total sensitive endpoints. Audit entries logged / Expected entries. Count blocked unauthorized access attempts / Total access attempts,YES,Network Isolation Score (%),>95%,Ensure Private Endpoint Isolation Score Above Threshold,Private endpoint network isolation testing score above 95%,Infrastructure Testing
TGI-INF-IP-001,Enable Distributed Tracing for Confidential Data Flow Visibility,Inference,Privacy,Confidential data in prompt,Confidential information might be included as a part of the prompt that is sent to the model.,"Configure OpenTelemetry integration in TGI to trace the flow of confidential data through inference pipelines, enabling detection and audit of confidential information exposure in prompts or outputs.","MEASURE-2.5 (The AI system to be deployed is demonstrated to be valid and reliable); GOVERN-1.1 (Legal and regulatory requirements involving AI are understood, managed, and documented)",Data Flow Tracking; Confidentiality Monitoring,Distributed tracing coverage; Confidential data detection rate; Trace data retention compliance,Traced requests / Total requests. Count detected confidential elements / Total requests. Audit traces retained per policy / Required retention,YES,Trace Retention Compliance (%),100%,Ensure Trace Data Retention Compliance,100% of trace data retention complies with organizational policies,Compliance Audit
TGI-OUT-IP-001,Scan Output for Confidential Information Leakage,Output,Intellectual property,Revealing confidential information,"When confidential information is used in training data, fine-tuning data, or as part of the prompt, models might reveal that data in the generated output.","Implement output scanning in post-processing pipelines to detect and redact confidential information patterns, intellectual property, or PII in generated text before returning responses to end users.","MEASURE-2.5 (The AI system to be deployed is demonstrated to be valid and reliable); GOVERN-1.2 (The characteristics of trustworthy AI are integrated into organizational policies, processes, procedures, and practices)",Output Validation; Data Leakage Prevention,Output scanning coverage; Confidential information redaction rate; Data leakage incidents,Outputs scanned / Total outputs generated. Confidential patterns redacted / Total patterns detected. Count confirmed data leaks / Total outputs,YES,Unredacted PII Rate (%),<0.5%,Ensure Confidential Information Redaction Coverage Below Threshold,Unredacted confidential information in outputs below 0.5%,Output Analysis
TGI-OUT-IP-002,Enable Watermarking for Generated Content Attribution,Output,Intellectual property,Copyright infringement,A model might generate content that is similar or identical to existing work protected by copyright or covered by open-source license agreement.,"Enable and configure A Watermark for Large Language Models feature in TGI to embed imperceptible watermarks in generated text, enabling detection of model-generated content for copyright and license compliance verification.","GOVERN-1.1 (Legal and regulatory requirements involving AI are understood, managed, and documented); GOVERN-1.2 (The characteristics of trustworthy AI are integrated into organizational policies, processes, procedures, and practices)",Content Attribution; Legal Compliance,Watermark embedding rate; Watermark detection rate; Model-generated content identification accuracy,Outputs with watermark / Total outputs. Watermarks detected in samples / Sample size. True positives in generated content detection / Total detections,YES,Watermark Detection Rate (%),>98%,Ensure Watermark Embedding and Detection Rate Above Threshold,Watermark embedding 100% and detection rate above 98%,Content Authentication
